DRS,city
BARRETOS,ALTAIR
BARRETOS,BARRETOS
BARRETOS,BEBEDOURO
BARRETOS,CAJOBI
BARRETOS,COLINA
BARRETOS,COLOMBIA
BARRETOS,GUAIRA
BARRETOS,GUARACI
BARRETOS,JABORANDI
BARRETOS,MONTE AZUL PAULISTA
BARRETOS,OLIMPIA
BARRETOS,SEVERINIA
BARRETOS,TAIACU
BARRETOS,TAIUVA
BARRETOS,TAQUARAL
BARRETOS,TERRA ROXA
BARRETOS,VIRADOURO
BARRETOS,VISTA ALEGRE DO ALTO
